Modulbezeichnung: ,engl. Modulbezeichnung: ,ggf. Modulniveau: ,Kürzel: ,ggf. Untertitel: ,ggf. Lehrveranstaltungen: ,Studiensemester: ,Semesterlage: ,Modulverantwortliche(r):  ,Dozent(in): ,Sprache: ,Zuordnung zum Curriculum:  ,Lehrform / SWS:  ,Arbeitsaufwand:  ,Kreditpunkte: ,Empfohlene Voraussetzungen: ,Angestrebte Lernergebnisse:  ,Inhalt:  ,Studien-/ Prüfungsleistungen: ,Medienformen: ,Literatur: 
Adaptronik ,Adaptronik , , , , ,M.Sc. ab 3./ 4. Semester ,Wintersemester ,"Prof. Dr. Michael Sinapius, IFME ","Prof. Dr. Michael Sinapius, IFME ",deutsch ,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung ,Vorlesung; Praktikum , ,5 ,Prinzipien der Adaptronik (BA-Studium) , , ,"Teilnahme am Labor, mündliche Prüfung ", , 
Advanced Database Models ,Advanced Database Models , ,ADBM , , ,M.Sc. ab 1. Semester; M.Sc. ab 2. Semester; M.Sc. ab 3./ 4. ,Sommersemester ,Professur für Praktische Informatik / Datenbanken und ,Dr. Eike Schallehn ,englisch , ,Vorlesung; Übung ,Präsenzzeiten: , , ,"Adaptronik schafft eine neue Klasse technischer, elastomechani-","Übersicht über Adaptronik, Anwendungen aus der Forschung ", , , 
Advanced Topics in Databases ,Advanced Topics in Databases , , , , ,Semester ,Sommersemester ,Informationssysteme ,Dr. David Broneske ,englisch , ,Vorlesung; Übung ,wöchentlich 2 h (Vorlesung) und Praktikum ,Voraussetzungen nach , ,"scher Systeme, die sich durch Einsatz neuer aktivierbarer ",Strukturintegrierbare Sensorik und Aktorik , , , 
Advanced Topics in Geometric Mechanics ,Advanced Topics in Geometric Mechanics , ,GeomechAdvanced , , ,M.Sc. ab 1. Semester ,Sommersemester ,Professur für Praktische Informatik / Datenbanken und ,Jun.-Prof. Dr. Christian Lessig ,englisch ,FIN: M.Sc. CV - Bereich Informatik ,Seminar ,"Selbständiges Bearbeiten der Experimente, Anfertigung von Ver-",Prüfungsordnung: ,Database introduction course ,Materia-lien und schneller digitaler Regler an unterschiedlichste ,Strukturkonforme Integration von Aktoren und Sensoren , ,"Tafel, Folien, Beispielprogramme ", 
Advanced Topics in Machine Learning ,Advanced Topics in Machine Learning , ,ATiML , , ,M.Sc. ab 1. Semester ,Sommersemester ,Informationssysteme ,Prof. Dr.-Ing. Andreas Nürnberger ,englisch ,FIN: M.Sc. DIGIENG - Methoden der Informatik ,Vorlesung; Übung ,"suchprotokollen, Präsentation der Ergebnisse ", , ,Umge-bungsbedingungen selbsttätig anpassen können. ,Zielfeld Konturanpassung: Methoden des Morphing. ,Examination requirements: Participation and active involvement , , 
Advanced Topics in Networking ,Advanced Topics in Networking , ,ATN , , ,M.Sc. ab 1. Semester; M.Sc. ab 2. Semester; M.Sc. ab 3./ 4. ,Wintersemester ,Jun.-Prof. Dr. Christian Lessig ,Prof. Dr. David Hausheer ,englisch ,FIN: M.Sc. DKE - Data Processing for Data Science ,Vorlesung; Übung , ,6 , ,Adaptronik hat 4 Zielfelder technischer Anwendungen: ,"Zielfeld Vibrationsunterdrückung: Körperschallinterferenz, Til-",in the course and the exercises ,"Powerpoint, Tafel ", 
Advanced Topics of KMD ,Advanced Topics of KMD , ,AdvKMD , , ,Semester ,Sommersemester ,Professur für Data and Knowledge Engineering ,Prof. Myra Spiliopoulou ,englisch ,FIN: M.Sc. DKE (alt) - Bereich Models ,Seminar ,180h (56 h contact hours + 124 h self-study) , ,Knowledge about database foundations and about principles of , Konturanpassung durch elastische Verformung ,"gung, Kompensation ",Final examination: written (120 minutes) , ,Seite 16   Inhaltsverzeichnis 
Algorithm Engineering ,Algorithm Engineering , , , , ,B.Sc. ab 4. Semester; M.Sc. ab 1. Semester , ,Prof. Dr. David Hausheer ,Prof. Dr. Stefan Schirra ,deutsch ,FIN: M.Sc. INF - Bereich Informatik , , ,Voraussetzungen nach ,in-ternal database operations , Vibrationsminderung durch Körperschallinterferenz ,Zielfeld Schallreduktion: Konzepte der Aktiven , , ,     
Algorithmen und Datenstrukturen ,Algorithms and Data Structures , ,AuD , , ,M.Sc. ab 1. Semester ,Sommersemester ,Lehrstuhl Angewandte Informatik / Wirtschaftsinformatik II ,Dr. Christian Rössl ,deutsch ,FIN: M.Sc. INGINF - Bereich Informatik ,Vorlesung; Übung , ,Prüfungsordnung: , , Schallreduktion durch aktive Maßnahmen ,SchallreduktionAutonome Systeme - Konzepte des Energy-, , , 
Allgemeine Elektrotechnik ,Electrical engineering and electronics , , , , ,M.Sc. ab 1. Semester ,Wintersemester ,(Arbeitsgruppe KMD) ,Prof. Dr.-Ing. Andreas Lindemann ,deutsch ,FIN: M.Sc. VC - Computer Science ,Vorlesung; Übung; Praktikum ,Classes (2 hours per week) , , , Lebensdauererhöhung durch strukturintegrierte Bauteilüber-,HarvestingKonzepte integrierter Bauteilüberwachung , , , 
